position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,THE REDFORD,1401 REDFORD STREET,269,.187
2,2020-03-15,CIRCLE AT POINT PARK,8727 POINT PARK DR ,207,.187
3,2020-03-15,SERENA WOODS APARTMENTS,2800 HIRSCHFIELD ROAD ,164,.187
4,2020-03-15,GPI WEST OAKS II LP,15250 GRAY RIDGE DR. ,164,.187
5,2020-03-15,BISCAYNE AT CITYVIEW,17050 IMPERIAL VALLEY DRIVE ,154,.187
6,2020-03-15,RAAMCO TEXAS PROPERTIES,10500 VALLEY FORGE,151,.187
7,2020-03-15,BRECKENRIDGE AT CITYVIEW,555 SEMINAR DRIVE ,151,.187
8,2020-03-15,RESERVE AT WESTWOOD APARTMENTS,10225 BISSONNET ,149,.187
9,2020-03-15,LENOX PARK APARTMENTS,12601 SOUTH GREEN DR ,142,.187
10,2020-03-15,LA CASITA APARTMENTS,315 E ROSAMOND ,140,.187
1,2021-06-20,CIRCLE AT POINT PARK,8727 POINT PARK DR ,56,.239
2,2021-06-20,MCG SAPPHIRE LLC,2002 SAN SEBASTIAN CT ,45,.239
3,2021-06-20,LENOX PARK APARTMENTS,12601 SOUTH GREEN DR ,41,.239
4,2021-06-20,LA CASITA APARTMENTS,300 SUNNYSIDE ST ,33,.239
5,2021-06-20,URBAN PALMS,8721 TOWN PARK DR,29,.239
6,2021-06-20,RAAMCO TEXAS PROPERTIES,10500 VALLEY FORGE ,28,.239
7,2021-06-20,CHATEAUX DIJON APARTMENTS,5310 BEVERLY HILL ST ,24,.239
8,2021-06-20,ESTATES AT HOLLISTER,7740 W LITTLE YORK,23,.239
9,2021-06-20,GATEWAY AT ELLINGTON,15603 GULF FWY ,22,.239
10,2021-06-20,11770 WESTHEIMER LLC,11770 WESTHEIMER RD ,21,.239
