position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,THE BROOKLYN 9669,11991 AUDELIA RD,225,0.26
2,2020-03-15,9350 SKILLMAN STREET LLC,9350 SKILLMAN ST,177,0.26
3,2020-03-15,VOLARA APARTMENTS,3500 E OVERTON RD,142,0.26
4,2020-03-15,241 INTERSTATE LLC,339 E I30 FWY,126,0.26
5,2020-03-15,SEACREST APARTMENTS,3002 BELT LINE RD,120,0.26
6,2020-03-15,POLARIS TX16 LLC,8081 MARVIN D LOVE FWY,115,0.26
7,2020-03-15,GLEN AT HIGHPOINT,9050 MARKVILLE DR,108,0.26
8,2020-03-15,MANDALAY PALMS APTS,3150 CLIFF CREEK CROSSING DR,104,0.26
9,2020-03-15,800 LINK APARTMENTS,200 JELLISON BLVD,102,0.26
10,2020-03-15,REGAL CROSSING APARTMENTS,7575 CHAUCER PL,101,0.26
1,2021-06-27,S2 LAKE VILLAGE NORTH TRPL LLC,339 E I30 FWY,47,0.341
2,2021-06-27,9350 SKILLMAN STREET LLC DBA,9350 SKILLMAN ST,33,0.341
3,2021-06-27,THE ALISTA,10062 ROYAL LN,33,0.341
4,2021-06-27,THE BERNARD APARTMENTS,9669 FOREST LN,28,0.341
5,2021-06-27,GLEN AT HIGHPOINT,9050 MARKVILLE DR,24,0.341
6,2021-06-27,800 LINK APARTMENTS,200 JELLISON BLVD,23,0.341
7,2021-06-27,MANSIONS BAYSIDE,1801 BAYSIDE DR,21,0.341
8,2021-06-27,MOUNTAIN VALLEY APTS,5939 MOUNTAIN VALLEY LN,21,0.341
9,2021-06-27,THE,139 S CLARK RD,20,0.341
10,2021-06-27,THE KONTOUR AT KESSLER PARK,1411 WINDING BROOK CIR,19,0.341
