position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2020-03-15,2023-03-04,STONESTHROW APARTMENTS,65 CENTURY CIR,713,0.502,34.860078,-82.361864
2,2020-03-15,2023-03-04,COBALT SPRINGS,1712 PINECROFT DR,614,0.502,34.93381,-82.312817
3,2020-03-15,2023-03-04,RETREAT AT WATERSIDE,741 WOODRUFF RD,527,0.502,34.837637,-82.326039
4,2020-03-15,2023-03-04,CALEDON APARTMENTS,100 CALEDON CT,399,0.502,34.862156,-82.339281
5,2020-03-15,2023-03-04,"PALISADES OF FOUNTAIN INN C/O LOEBSACK AND BROWNLEE,",3203 ARBOR CREST CT,398,0.502,34.683792,-82.207228
6,2020-03-15,2023-03-04,EAGLE TRACE APARTMENTS LLC AND EAGLE TRACE BEDFORD LLC,1 LAKESIDE RD,391,0.502,34.784192,-82.444821
7,2020-03-15,2023-03-04,HAWK'S LANDING APARTMENTS,1201 CEDAR LANE RD,358,0.502,34.873032,-82.44019
8,2020-03-15,2023-03-04,SPRINGWOOD APARTMENTS,410 SULPHUR SPRINGS RD,331,0.502,34.893238,-82.448531
9,2020-03-15,2023-03-04,LAKESIDE PLACE APARTMENTS,15 VILLA RD,308,0.502,34.861795,-82.355162
10,2020-03-15,2023-03-04,"ARBORS AT BROOKFIELD C/O LOEBSACK AND BROWNLEE, LLC",782 E BUTLER RD,302,0.502,34.798933,-82.284928
1,2023-01-08,2023-03-04,COBALT SPRINGS,1712 PINECROFT DR,92,0.587,34.933817,-82.312821
2,2023-01-08,2023-03-04,"PALISADES OF FOUNTAIN INN C/O LOEBSACK AND BROWNLEE,",11214 ARBOR CREST CT,70,0.587,34.685392,-82.207936
3,2023-01-08,2023-03-04,CALEDON APARTMENTS,1003 CALEDON CT,55,0.587,34.863163,-82.336215
4,2023-01-08,2023-03-04,STONESTHROW APARTMENTS,65 CENTURY CIR,54,0.587,34.860085,-82.361868
5,2023-01-08,2023-03-04,RETREAT AT WATERSIDE,741 WOODRUFF RD,40,0.587,34.83762,-82.326015
6,2023-01-08,2023-03-04,SPRINGWOOD APARTMENTS,410 SULPHUR SPRINGS RD,33,0.587,34.893245,-82.448535
7,2023-01-08,2023-03-04,VILLAGE PARK APARTMENTS,110 VILLAGE PARK DR,30,0.587,34.741445,-82.247073
8,2023-01-08,2023-03-04,KENSINGTON 2022 LLC,200 KENSINGTON RD,30,0.587,34.917666,-82.306611
9,2023-01-08,2023-03-04,PALISADES AT HOWELL ROAD,10313 ARDMORE SPRINGS CIR,29,0.587,34.87638,-82.327886
10,2023-01-08,2023-03-04,WOODLEA OAKS,4307 EDWARDS RD,27,0.587,34.902548,-82.32209
