position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2024-09-01,2025-08-31,THE TRAILS AT MT MORIAH,6424 WHISPERING LN S,284,0.329,35.06226,-89.849388
2,2024-09-01,2025-08-31,UNIVERSITY GARDENS MANOR,1046 E CABANA CIR,249,0.329,35.165546,-89.987497
3,2024-09-01,2025-08-31,HIGHLAND MEADOWS,2174 MCKELLAR WOODS CT,243,0.329,35.0117,-89.991079
4,2024-09-01,2025-08-31,THE VIEW AT SHELBY FARMS,230 S SUSSEX LN,231,0.329,35.132316,-89.793245
5,2024-09-01,2025-08-31,MAA SOUTHWIND F/K/A LINCOLN ON THE GREEN,3585 GREENSIDE DR,202,0.329,35.051247,-89.787325
6,2024-09-01,2025-08-31,MEMPHIS PLAZA LLC O/B/O AZURE PLACE APARTMENTS,2962 GEORGETOWN DR,164,0.329,35.068196,-89.935004
7,2024-09-01,2025-08-31,THE RESIDENCES AT LAKEVIEW,5396 MEADOWLAKE DR S,163,0.329,35.071209,-89.883365
8,2024-09-01,2025-08-31,WINCHESTER GROVE APARTMENTS,1264 TURKEY RUN LN,149,0.329,35.056803,-90.021754
9,2024-09-01,2025-08-31,GREENBROOK @ SHELBY FARMS,1229 TIMBERBROOK LN,148,0.329,35.158736,-89.842712
10,2024-09-01,2025-08-31,"MILLCREEK APTS., LP",4680 MILL STREAM DR,134,0.329,35.022649,-90.009208
11,2024-09-01,2025-08-31,POPLAR PLACE TOWNHOMES,1675 RANDOLPH PL,130,0.329,35.103081,-89.842862
12,2024-09-01,2025-08-31,THE BROOKLYN APARTMENTS,3123 REDWOOD CT,128,0.329,35.063178,-89.844683
13,2024-09-01,2025-08-31,WINBRANCH APARTMENTS,1628 WINWAY DR,124,0.329,35.051603,-90.009705
14,2024-09-01,2025-08-31,VILLAGE GREEN APARTMENTS,3405 ZOYSIA DR,119,0.329,35.055589,-89.856015
15,2024-09-01,2025-08-31,THE PARK AT FOREST HILL APARTMENTS,4755 SOUTHERN HILL DR,118,0.329,35.019344,-89.788163
16,2024-09-01,2025-08-31,THE STELLA,2142 E RIVER TRACE DR,113,0.329,35.183654,-89.874334
17,2024-09-01,2025-08-31,TANGLEWOOD ASSOCIATES I LLC,5710 TANGLE OAKS DR,112,0.329,35.185032,-89.873357
18,2024-09-01,2025-08-31,SHADOWBROOK TOWNHOMES,3309 ANSNOW LN,110,0.329,35.05836,-89.92984
19,2024-09-01,2025-08-31,CREEKSIDE MEADOWS,2046 WINCHESTER RD,108,0.329,35.053682,-89.995695
20,2024-09-01,2025-08-31,THE DISTRICT,6441 LOST OAK DR,107,0.329,35.060498,-89.848618
21,2024-09-01,2025-08-31,"MAKOWSKY RINGEL GREENBERG, LLC",3635 TYLA DR,103,0.329,35.224778,-89.97806
22,2024-09-01,2025-08-31,THE VUE AT CLAUDETTE,2758 CLAUDETTE RD,102,0.329,35.073687,-89.925118
