position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2020-03-15,2023-03-04,HUNTINGTON PLACE APARTMENTS,5833 73RD AVE N,255,0.228,45.083526,-93.353975
2,2020-03-15,2023-03-04,CONCIERGE APARTMENTS PROPERTY OWNER LLC,7610 PENN AVE S,108,0.228,44.863982,-93.311237
3,2020-03-15,2023-03-04,WOP BURLINGTON LLC,1150 CUSHING CIR,108,0.228,44.972202,-93.149251
4,2020-03-15,2023-03-04,HAMPSHIRE 10660 LLC,10680 HAMPSHIRE AVE S,72,0.228,44.809499,-93.372027
5,2020-03-15,2023-03-04,WILLOWBROOK LLC,5920 65TH AVE N,69,0.228,45.073096,-93.35765
6,2020-03-15,2023-03-04,VILLA DEL CORONADO ASSOCIATES LP,8112 ZANE AVE N,69,0.228,45.10142,-93.355263
7,2020-03-15,2023-03-04,"HOPKINS APARTMENTS, LLC",1010 LAKE ST NE,68,0.228,44.93089,-93.387435
8,2020-03-15,2023-03-04,STERLING GEORGETOWN LLC,2735 RICE ST,67,0.228,45.023841,-93.107574
9,2020-03-15,2023-03-04,"MIMG XXXII EDEN PARK, LLC",6341 ZANE AVE N,65,0.228,45.071042,-93.356637
10,2020-03-15,2023-03-04,FOXCROFT APARTMENTS LLP,1990 BURNS AVE,57,0.228,44.947896,-93.015845
1,2023-01-08,2023-03-04,CONCIERGE APARTMENTS PROPERTY OWNER LLC,7610 PENN AVE S,33,0.32,44.863982,-93.311237
2,2023-01-08,2023-03-04,AEON BP LLC,5817 73RD AVE N,27,0.32,45.083548,-93.35202
3,2023-01-08,2023-03-04,"CENTERSPACE, LP",6220 78TH AVE N,24,0.32,45.096994,-93.358677
4,2023-01-08,2023-03-04,"BOLERO FLATS APARTMENTS, LLC",1117 MARQUETTE AVE,23,0.32,44.971546,-93.274283
5,2023-01-08,2023-03-04,"HOPKINS APARTMENTS, LLC",1010 LAKE ST NE,19,0.32,44.93089,-93.387435
6,2023-01-08,2023-03-04,"ST. PAUL LEASED HOUSING ASSOCIATES V, LP",1619 MARYLAND AVE E,17,0.32,44.978802,-93.032071
7,2023-01-08,2023-03-04,LEWIS PARK RENEWAL LLC,180 WAYZATA ST,17,0.32,44.968452,-93.107811
8,2023-01-08,2023-03-04,VILLA DEL CORONADO ASSOCIATES LIMITED PARTNERSHIP,8100 ZANE AVE N,16,0.32,45.10142,-93.355263
9,2023-01-08,2023-03-04,EAST TOWN APARTMENTS LIMITED PARTNERSHIP,618 9TH AVE S,15,0.32,44.972499,-93.260091
10,2023-01-08,2023-03-04,STERLING GEORGETOWN LLC,2425 LARPENTEUR AVE E,13,0.32,44.992726,-92.998136
