position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2024-03-01,2025-02-28,TREE HOUSE,3500 UNIVERSITY BLVD N,117,0.34,30.362985,-81.608845
2,2024-03-01,2025-02-28,"OAKS AT NORMANDY ACQUISITION LLC, A LIMITED LIABILITY COMPANY",7777 NORMANDY BLVD,96,0.34,30.296872,-81.777165
3,2024-03-01,2025-02-28,"LP, RIVERBANK APTS",1591 LANE AVE S,95,0.34,30.292319,-81.750763
4,2024-03-01,2025-02-28,PARADISE ISLAND APTS,7845 PARADISE ISLAND BLVD,93,0.34,30.200954,-81.54343
5,2024-03-01,2025-02-28,"CAROLINE SQUARE REALTY LLC, A LIMITED LIABILITY COMPANY",5959 FT CAROLINE RD,90,0.34,30.367728,-81.600282000000007
6,2024-03-01,2025-02-28,BENNETT CREEK APARTMENTS,6680 BENNETT CREEK DR,84,0.34,30.261125,-81.593914
7,2024-03-01,2025-02-28,OAKS AT RED BAY LLC,7528 ARLINGTON EXPY,84,0.34,30.325652,-81.580191
8,2024-03-01,2025-02-28,THE AVERY AT RIVERCITY MARKETPLACE,14200 DUVAL RD,79,0.34,30.473561,-81.652194
9,2024-03-01,2025-02-28,GREGORY COVE APARTMENTS,5601 EDENFIELD RD,77,0.34,30.38299,-81.60506
10,2024-03-01,2025-02-28,"KENDALL COURT LLC, A LIMITED LIABILITY COMPANY",10535 LEM TURNER RD,76,0.34,30.426656,-81.69239
11,2024-03-01,2025-02-28,"RCM ACQUISITION LLC, A LIMITED LIABILITY COMPANY",12900 BROXTON BAY DR,75,0.34,30.471792,-81.639454
12,2024-03-01,2025-02-28,"BROWARD ROAD OWNER, LLC",900 BROWARD RD,75,0.34,30.40665,-81.66324
13,2024-03-01,2025-02-28,"EDENS EDGE ACQUISITION LLC, A LIMITED LIABILITY COMPANY",7101 WILSON BLVD,74,0.34,30.270246,-81.762957
14,2024-03-01,2025-02-28,BOATHOUSE TIC I LLC,400 CENTURY 21ST DR,64,0.34,30.307955,-81.5743
15,2024-03-01,2025-02-28,THE ENCLAVE APARTMENTS,13300 ATLANTIC BLVD,63,0.34,30.318436,-81.453671
16,2024-03-01,2025-02-28,CEDAR RIVER PARTNERS LLC,4301 CONFEDERATE POINT RD,63,0.34,30.264767,-81.730505
17,2024-03-01,2025-02-28,THE LAKESIDE NEST,2651 UNIVERSITY BLVD N,63,0.34,30.348872,-81.599958
18,2024-03-01,2025-02-28,THE ELEMENT AT RIVER POINTE,11291 HARTS RD,61,0.34,30.44021,-81.657197
19,2024-03-01,2025-02-28,"LP, 7740 SOUTHSIDE BLVD",7740 SOUTHSIDE BLVD,60,0.34,30.230466,-81.554847
20,2024-03-01,2025-02-28,THE LANDINGS AT SAN MARCO,2600 ART MUSEUM DR,60,0.34,30.298748,-81.615824
21,2024-03-01,2025-02-28,"7915 BAYMEADOWS CIRCLE OWNER LLC, A LIMITED LIABILITY COMPANY",7901 BAYMEADOWS CIR E,59,0.34,30.228569,-81.559653
22,2024-03-01,2025-02-28,AREP PIER LLC,5350 ARLINGTON EXPY,55,0.34,30.325581,-81.607986
23,2024-03-01,2025-02-28,THE ANSLEY APARTMENTS,11011 HARTS RD,55,0.34,30.43515,-81.656704
24,2024-03-01,2025-02-28,THE FINLEY APTS,9541 103RD ST,54,0.34,30.249915,-81.814503
25,2024-03-01,2025-02-28,BAY CLUB APARTMENTS,9009 WESTERN LAKE DR,54,0.34,30.206552,-81.553901
26,2024-03-01,2025-02-28,HERITAGE MULTIFAMILY PARTNERS LLC,4375 CONFEDERATE POINT RD,53,0.34,30.262295,-81.729717
27,2024-03-01,2025-02-28,THE WATERFORD AT MANDARIN APARTMENTS,11247 SAN JOSE BLVD,53,0.34,30.168632,-81.625267
28,2024-03-01,2025-02-28,"MEZZA LP, A DELAWARE LIMITED PARTNERSHIP, AUTHORIZED TO DO BUSINESS IN FLORIDA AS LANDLORD OF MEZZA",11701 PALM LAKE DR,53,0.34,30.449716,-81.629965
29,2024-03-01,2025-02-28,"PRCP ST. JOHNS AVONDALE LLC, A LIMITED LIABILITY COMPANY AS SUCCESSOR IN INTEREST TO AJ ST JOHN GARDENS LLC, A LIMITED LIABILITY COMPANY",7925 MERRILL RD,51,0.34,30.355965,-81.563015
30,2024-03-01,2025-02-28,"MANDARIN PROPERTY HOLDINGS LLC, A DELAWARE LIMITED LIABILITY COMPANY AUTHORIZED TO DO BUSINESS IN FLORIDA, AS LANDLORD OF THE PARK AT ANZIO",4083 SUNBEAM RD,51,0.34,30.208458,-81.60988
31,2024-03-01,2025-02-28,"MID-AMERICA APARTMENT COMMUNITIES LTD, A TENNESSEE LIMITED PARTNERSHIP AUTHORIZED TO DO BUSINESS IN FLORIDA, AS LANDLORD OF MAA ATLANTIC",1715 HODGES BLVD,50,0.34,30.317891,-81.457081
32,2024-03-01,2025-02-28,THE PARK AT ALSTON,5170 COLLINS RD,49,0.34,30.193215,-81.719202
