position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,WESTBROOK VILLAGE MHP LLC,5896 RAINBOW HILL DR,147,0.267
2,2020-03-15,CINCINNATI 101 OH LLC,2964 HIGHFOREST LN,118,0.267
3,2020-03-15,WILLIAMSBURG OF CINTI APTS,1408 GOVERNOR TER,104,0.267
4,2020-03-15,WILLIAMSBURG OF CINTI APTS,4205 WILLIAMSBURG RD,86,0.267
5,2020-03-15,WILLIAMSBURG OF CINTI APTS,7901 CONSTITUTION DR,86,0.267
6,2020-03-15,CINCINNATI PORTFOLIO RLTY LLC,3177 FERNCREST CT,67,0.267
7,2020-03-15,JK FORESTVIEW LLC,1500 GROESBECK RD,66,0.267
8,2020-03-15,ZINGENUITY NORTH CREEK LLC,1566 W GALBRAITH RD,61,0.267
9,2020-03-15,UPTOWN COMMUNITY PARTNERS,400 W 9TH ST,59,0.267
10,2020-03-15,MIAMI VIEW MHP LLC,8773 BUTTERNUT CT,58,0.267
1,2021-07-18,CINCINNATI 101 OH LLC,2964 HIGHFOREST LN,26,0.309
2,2021-07-18,WESTBROOK VILLAGE MHP LLC,5904 ISLAND DR,24,0.309
3,2021-07-18,ROYAL SENTRY LLC,2850 HARRISON AVE,17,0.309
4,2021-07-18,WEST COURT VIEW BUILDING LLC,7 W COURT ST,12,0.309
5,2021-07-18,MONARCH INVEST & MGMT GRP LLC,12121 SYCAMORE TERRACE DR,11,0.309
6,2021-07-18,ROSEMONT HILLS LLC,819 ROSEMONT AVE,11,0.309
7,2021-07-18,GLENWOOD HOUSING PARTNERS LLC,1259 SPRING PARK WALK,10,0.309
8,2021-07-18,CINCINNATI PORTFOLIO RLTY LLC,3179 FERNCREST CT,10,0.309
9,2021-07-18,FATH MONTANA VALLEY LLC,1503 VIENNA WOODS DR,9,0.309
10,2021-07-18,MONTANA QUEEN CITY LLC,2872 MONTANA AVE,8,0.309
