position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2024-09-01,2025-08-31,RSW PREMIER HOLDINGS LLC,10825 E KESWICK RD,109,0.202,40.077954,-74.984925
2,2024-09-01,2025-08-31,AVENUE APARTMENTS LLC,5450 WISSAHICKON AVE,99,0.202,40.024495,-75.181065
3,2024-09-01,2025-08-31,HENRY ON THE PARK LLC,7901 HENRY AVE,96,0.202,40.05659,-75.230295
4,2024-09-01,2025-08-31,KRE MREG CITY AVE OWNER LLC,3850 CITY AVE,92,0.202,40.008195,-75.207669
5,2024-09-01,2025-08-31,SGYS ST. IVES LLC,3000 WOODHAVEN RD,91,0.202,40.096441,-74.984847
6,2024-09-01,2025-08-31,"LP, POST RITTENHOUSE HILL",633 W RITTENHOUSE ST,89,0.202,40.030354,-75.184491
7,2024-09-01,2025-08-31,ADAMS RUN HOLDING COMPANY LLC,155 E GODFREY AVE,71,0.202,40.045426,-75.114733
8,2024-09-01,2025-08-31,EASTWICK JOINT VENTURE,7701 LINDBERGH BLVD,70,0.202,39.904821,-75.243028
9,2024-09-01,2025-08-31,MP PORTFOLIO HOLDINGS LLC,3400 RED LION RD,55,0.202,40.073832,-74.986008
10,2024-09-01,2025-08-31,WYNNEFIELD TERR ASSOC,4991 PARKSIDE AVE,52,0.202,39.988999,-75.22465
