position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-03-01,2026-02-28,COMMONS AT REDWOOD CREEK LLC,11964 SW WINDMILL DR,73,0.222,45.46145,-122.800278
2,2025-03-01,2026-02-28,"UNIVERSITY POINTE AT COLLEGE STATION, ACC OP (PSU COLLEGE STATION) LLC",1955 SW 5TH AVE,63,0.222,45.509722,-122.682141
3,2025-03-01,2026-02-28,SP/BGO ARBOR CREEK OWNER LLC,3280 SW 170TH AVE,59,0.222,45.496447,-122.847632
4,2025-03-01,2026-02-28,HIGHLAND PARK APARTMENTS LLC,24050 SE STARK ST,45,0.222,45.517433,-122.415037
5,2025-03-01,2026-02-28,COMMONS AT TIMBER CREEK NORTH LLC,12228 NW BARNES RD,44,0.222,45.520616,-122.803962
6,2025-03-01,2026-02-28,CORE PORTLAND LLC,1818 SW 4TH AVE,44,0.222,45.511051,-122.680349
7,2025-03-01,2026-02-28,QUATAMA CROSSING APARTMENTS,772 NE AUTUMNCREEK WAY,40,0.222,45.525751,-122.893141
8,2025-03-01,2026-02-28,HOLLAND GABLES LLC,14940 SW SCHOLLS FERRY RD,40,0.222,45.433206,-122.830662
9,2025-03-01,2026-02-28,GUARDIAN MANAGEMENT LLC,2250 GABLE RD,40,0.222,45.847981,-122.828103
10,2025-03-01,2026-02-28,THE CREEKSIDE LIMITED PARTNERSHIP,5300 E MAIN ST,39,0.222,45.519175,-122.929111
