position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2020-03-15,2023-03-04,CINNAMON TREE APARTMENTS,7220 CENTRAL AVE SE,213,0.463,35.073997,-106.565956
2,2020-03-15,2023-03-04,THE ARBORS APARTMENTS,4425 SHEPARD RD NE,202,0.463,35.119621,-106.594617
3,2020-03-15,2023-03-04,ASPEN RANCH PARTNERS LLC,9677 EAGLE RANCH RD NW,188,0.463,35.192342,-106.662473
4,2020-03-15,2023-03-04,THE COURTYARDS,6001 TOPKE PL NE,179,0.463,35.136229,-106.580665
5,2020-03-15,2023-03-04,INDIGO PARK APARTMENTS,7600 MONTGOMERY BLVD NE,163,0.463,35.130043,-106.557637
6,2020-03-15,2023-03-04,SUN POINTE PARK,4009 MONTGOMERY BLVD NE,154,0.463,35.132403,-106.600055
7,2020-03-15,2023-03-04,VILLAS DE LA TERRAZA,6401 ACADEMY RD NE,154,0.463,35.147063,-106.580028
8,2020-03-15,2023-03-04,CORE VISTAS AT SEVEN BAR RANCH,10600 CIBOLA LOOP NW,152,0.463,35.209251,-106.662631
9,2020-03-15,2023-03-04,ARIOSO APARTMENTS,7303 MONTGOMERY BLVD NE,150,0.463,35.131024,-106.563013
10,2020-03-15,2023-03-04,CWR RESIDENTIAL LTD,10001 COORS BYP NW,145,0.463,35.19683,-106.660235
1,2023-01-08,2023-03-04,NORTE VILLAS APARTMENTS,6001 TOPKE PL NE,47,0.525,35.136229,-106.580665
2,2023-01-08,2023-03-04,TESOTA FOUR HILLS,425 WESTERN SKIES DR SE,22,0.525,35.064999,-106.51049
3,2023-01-08,2023-03-04,ENCANTO LOFTS,4501 SHEPARD RD NE,22,0.525,35.119918,-106.594237
4,2023-01-08,2023-03-04,ASPEN RANCH PARTNERS LLC,9677 EAGLE RANCH RD NW,21,0.525,35.193169,-106.66336
5,2023-01-08,2023-03-04,C W R RESIDENTIAL LTD,10001 COORS BYP NW,21,0.525,35.19683,-106.660235
6,2023-01-08,2023-03-04,VISTAS AT SEVEN BAR RANCH LLC,10600 CIBOLA LOOP NW,21,0.525,35.209679,-106.66102
7,2023-01-08,2023-03-04,EAGLE RANCH APT,9270 EAGLE RANCH RD NW,20,0.525,35.183965,-106.669217
8,2023-01-08,2023-03-04,SUN POINTE PARK,4019 MONTGOMERY BLVD NE,20,0.525,35.132878,-106.600108
9,2023-01-08,2023-03-04,VILLAS DE LA TERRAZA,6401 ACADEMY RD NE,20,0.525,35.147395,-106.578586
10,2023-01-08,2023-03-04,TIERRA POINTE LLC,6801 LOS VOLCANES RD NW,19,0.525,35.091416,-106.717456
