position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-06-01,2026-05-31,ARBOR LANDINGS LLC F/K/A ARBOR LANDINGS APARTMENTS,1217 BROOKVIEW DR,113,0.421,41.620505,-83.637538
2,2025-06-01,2026-05-31,BOULDER CREEK APARTMENTS,1255 S BYRNE RD,106,0.421,41.616912,-83.623717
3,2025-06-01,2026-05-31,ARBOR LANDINGS LLC F/K/A ARBOR LANDINGS APARTMENTS,1310 BROOKVIEW DR,86,0.421,41.620402,-83.634559
4,2025-06-01,2026-05-31,HUNTERS RIDGE PROPERTY OWNER LLC  A/K/A HUNTERS RIDGE APARTMENTS,3459 GIBRALTER HEIGHTS DR,82,0.421,41.621965,-83.625208
5,2025-06-01,2026-05-31,BEACON POINT APARTMENTS,2407 CHEYENNE BLVD,75,0.421,41.597054,-83.667963
6,2025-06-01,2026-05-31,"WILLOWBROOK PLACE,  A MANUFACTURED HOME PARK OWNED AND OPERATED BY SUN O",5001 SOUTH AVE,64,0.421,41.629896,-83.659965
7,2025-06-01,2026-05-31,SUNNYDALE ESTATES,5875 YERMO DR,62,0.421,41.724576,-83.598921
8,2025-06-01,2026-05-31,"AUTHORITY, LUCAS METROPOLITAN HOUSING",1071 ARTIS PL,58,0.421,41.630261,-83.520296
9,2025-06-01,2026-05-31,ANDOVER TOLEDO LLC,2535 EASTGATE RD,52,0.421,41.593095,-83.641999
10,2025-06-01,2026-05-31,GLENDALE APARTMENTS LLC,1425 OAK HILL CT,48,0.421,41.614839,-83.614138
11,2025-06-01,2026-05-31,"WESTBROOK VILLAGE, A MANUFACTURED HOME PARK OWNED AND OPERATED BY SUN  O",5702 ANGOLA RD,45,0.421,41.62781,-83.677827
12,2025-06-01,2026-05-31,"MARINA LOFTS BORROWER, LLC",730 RIVERSIDE DR,43,0.421,41.650677,-83.522338
13,2025-06-01,2026-05-31,"LP, LARCHMONT TOLEDO",1315 SLATER ST,40,0.421,41.704935,-83.573935
14,2025-06-01,2026-05-31,"LP, LARCHMONT TOLEDO",1266 SLATER ST,37,0.421,41.706424,-83.573538
15,2025-06-01,2026-05-31,ALEXIS SECOR APARTMENTS LTD.,5627 SECOR RD,36,0.421,41.717654,-83.624758
16,2025-06-01,2026-05-31,CHRISTIE TOLEDO LLC,2642 CHRISTIE ST,36,0.421,41.673116,-83.607069
17,2025-06-01,2026-05-31,"MEADOWBROOK ESTATES, A MANUFACTURED HOME PARK OWNED AND OPERATED BY MEAD",340 S REYNOLDS RD,35,0.421,41.631609,-83.668555
18,2025-06-01,2026-05-31,THE FLATS AT DOUGLAS,2639 ALISDALE DR,35,0.421,41.671928,-83.611021
19,2025-06-01,2026-05-31,"HEATHERGATE PARK PLACE, LLC",2429 S PARK LN,31,0.421,41.595128,-83.651633
20,2025-06-01,2026-05-31,"HILCO REAL ESTATE, LLC",5845 THUNDER HOLLOW DR,31,0.421,41.61623,-83.682437
