position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,THE REDFORD,1401 REDFORD STREET,215,0.184
2,2020-03-15,CIRCLE AT POINT PARK,8727 POINT PARK DR ,176,0.184
3,2020-03-15,BISCAYNE AT CITYVIEW,17030 IMPERIAL VALLEY DR ,137,0.184
4,2020-03-15,WREF OXFORD LP,6121 WINSOME LN ,132,0.184
5,2020-03-15,THE MILO ON WESTHEIMER,13250 WESTHEIMER RD ,121,0.184
6,2020-03-15,BRECKENRIDGE AT CITYVIEW,555 SEMINAR DRIVE ,117,0.184
7,2020-03-15,GPI WEST OAKS II LP,15250 GRAY RIDGE DRIVE ,117,0.184
8,2020-03-15,GATEWAY AT ELLINGTON,15603 GULF FWY ,115,0.184
9,2020-03-15,CARRIAGE PLACE,505 WELLS FARGO DR ,115,0.184
10,2020-03-15,RAAMCO TEXAS PROPERTIES,10500 VALLEY FORGE,112,0.184
1,2021-07-11,CASA VERDE,1 GOODSON DRIVE ,45,0.252
2,2021-07-11,MCG SAPPHIRE LLC,2002 SAN SEBASTIAN CT ,40,0.252
3,2021-07-11,NOB HILL,5445 BRAESVALLEY DRIVE,38,0.252
4,2021-07-11,CIRCLE AT POINT PARK,8727 POINT PARK DR ,37,0.252
5,2021-07-11,S2 BROMPTON COURT LP,7490 BROMPTON RD.,29,0.252
6,2021-07-11,LENOX PARK APARTMENTS,12601 SOUTH GREEN DR ,27,0.252
7,2021-07-11,CHATEAUX DIJON APARTMENTS,5310 BEVERLY HILL ST ,26,0.252
8,2021-07-11,MCG ELEMENT LLC,400 GREENS RD ,25,0.252
9,2021-07-11,URBAN PALMS,8721 TOWN PARK DR,24,0.252
10,2021-07-11,VALENCIA GROVE APARTMENTS,11710 ALGONQUIN DR. ,24,0.252
