position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-03-01,2026-02-28,PALISADES OF FOUNTAIN,8317 ARBOR CREST CT,310,0.583,34.684968,-82.207624
2,2025-03-01,2026-02-28,PARK AT SONDRIO,3500 PELHAM RD,241,0.583,34.861155,-82.275635
3,2025-03-01,2026-02-28,KENSINGTON APARTMENTS,200 KENSINGTON RD,176,0.583,34.917247,-82.305877
4,2025-03-01,2026-02-28,NOAH PROPERTY MANAGEMENT,357 HILLANDALE RD,171,0.583,34.899537,-82.411053
5,2025-03-01,2026-02-28,SORRENTO APARTMENTS,660 HALTON RD,162,0.583,34.836477,-82.341331
6,2025-03-01,2026-02-28,SPRINGWOOD APARTMENTS,410 SULPHUR SPRINGS RD,136,0.583,34.893245,-82.448535
7,2025-03-01,2026-02-28,PELHAM APARTMENTS,260 PELHAM RD,122,0.583,34.865616,-82.347431
8,2025-03-01,2026-02-28,CALEDON APARTMENTS,235 CALEDON CT,120,0.583,34.862131,-82.338603
9,2025-03-01,2026-02-28,PELHAM APARTMENTS,230 PELHAM RD,119,0.583,34.866114,-82.348907
10,2025-03-01,2026-02-28,WOODLEA OAKS APARTMENTS,4307 EDWARDS RD,116,0.583,34.902548,-82.32209
11,2025-03-01,2026-02-28,AUGUSTA ROAD APARTMENTS,5300 AUGUSTA RD,103,0.583,34.782004,-82.37651
12,2025-03-01,2026-02-28,VILLAGE PARK 2019 LLC,110 VILLAGE PARK DR,102,0.583,34.739528,-82.248179
13,2025-03-01,2026-02-28,ASCENT AT GRANDE PLACE,8001 POINTE GRAND PL,100,0.583,34.738314,-82.280714
14,2025-03-01,2026-02-28,HAWKS LANDING APARTMENTS,1201 CEDAR LANE RD,98,0.583,34.872943,-82.440177
15,2025-03-01,2026-02-28,PALISADES AT HOWELL RD.,9303 ARDMORE SPRINGS CIR,96,0.583,34.876548,-82.328714
16,2025-03-01,2026-02-28,ARBORS AT BROOKFIELD,100 GATEWAY BLVD,93,0.583,34.800776,-82.282905
17,2025-03-01,2026-02-28,ASHTON WOODS APTS,4001 PELHAM RD,89,0.583,34.865778,-82.261575
18,2025-03-01,2026-02-28,STONESTHROW APARTMENTS,65 CENTURY CIR,86,0.583,34.860085,-82.361868
19,2025-03-01,2026-02-28,WATERLEAF AT NEELY FERRY,14309 SEGUNDO WAY,84,0.583,34.736457,-82.286067
20,2025-03-01,2026-02-28,SIGNATURE POINTE APARTMENTS,607 EMILY LN,80,0.583,34.718863,-82.394411
21,2025-03-01,2026-02-28,EMERALD CREEK APARTMENTS,301 FAIRFOREST WAY,73,0.583,34.797566,-82.345259
22,2025-03-01,2026-02-28,TRIANGLE BALLANTYNE COMMONS C/O LOEBSACK AND BROWNLEE,11101 LEBEN PL,72,0.583,34.696299,-82.254843
23,2025-03-01,2026-02-28,PLANTATIONS AT HAYWOOD,65 CROSS RDG,72,0.583,34.840499,-82.340994
24,2025-03-01,2026-02-28,EAGLE TRACE APARTMENTS,1 LAKESIDE RD,68,0.583,34.784199,-82.444824
25,2025-03-01,2026-02-28,BELL BROOKFIELD,815 E BUTLER RD,67,0.583,34.80308,-82.28677
26,2025-03-01,2026-02-28,CRESCENT LANDING,1008 WHITE HORSE RD,66,0.583,34.781772,-82.397957
27,2025-03-01,2026-02-28,GARDEN DISTRICT APARTMENTS,2102 GARDEN DISTRICT DR,66,0.583,34.728387,-82.259308
28,2025-03-01,2026-02-28,CAROLINA POINT,201 CAROLINA POINT PKWY,66,0.583,34.819487,-82.310794
29,2025-03-01,2026-02-28,JASMINE COVE APARTMENTS,902 JASMINE COVE CIR,65,0.583,34.703077,-82.25103
30,2025-03-01,2026-02-28,VICTOR VERDAE APTS,408 AZALEA HILL DR,64,0.583,34.820854,-82.329599
31,2025-03-01,2026-02-28,NOAH PROPERTY MANAGEMENT,288 OLD MILL RD,64,0.583,34.791479,-82.302089
32,2025-03-01,2026-02-28,LAUREL WOODS APARTMENTS,350 FAIRFOREST WAY,62,0.583,34.79738,-82.348486
33,2025-03-01,2026-02-28,TRIANGLE PALISADES AT THE PARK LLC,805 MAULDIN RD,61,0.583,34.783833,-82.351296
34,2025-03-01,2026-02-28,THE MILLS APARTMENTS C/O LOEBSACK AND BROWNLEE,8214 3 SPRINGS TRL,61,0.583,34.822594,-82.272183
35,2025-03-01,2026-02-28,PELHAM PLACE NORTH APARTMENTS,25 PELHAM RD,59,0.583,34.867621,-82.351701
36,2025-03-01,2026-02-28,TOSCANA APARTMENTS,2900 E NORTH ST,59,0.583,34.870112,-82.345542
37,2025-03-01,2026-02-28,STRATFORD VILLA APARTMENTS,200 EUNICE DR,59,0.583,34.881056,-82.460659
38,2025-03-01,2026-02-28,PELHAM PLACE SOUTH APARTMENTS,100 PELHAM RD,57,0.583,34.866054,-82.350916
39,2025-03-01,2026-02-28,CENTURY PLAZA APTS LLC,151 CENTURY DR,56,0.583,34.856729,-82.361937
40,2025-03-01,2026-02-28,COBALT SPRINGS,1712 PINECROFT DR,56,0.583,34.933817,-82.312821
41,2025-03-01,2026-02-28,THE ASSEMBLY,2000 CONVENE LN,56,0.583,34.853354,-82.44533
42,2025-03-01,2026-02-28,WESTCHESTER TOWNHOMES,300 PELHAM RD,53,0.583,34.863774,-82.347978
43,2025-03-01,2026-02-28,CHANDLER RIDGE APARTMENTS,310 CHANDLER RD,53,0.583,34.956913,-82.238107
44,2025-03-01,2026-02-28,THE COVE AT FAIRFOREST,105 CAVALIER DR,51,0.583,34.793301,-82.353876
45,2025-03-01,2026-02-28,THE SULLIVAN,1200 JOLENE DR,50,0.583,34.892796,-82.45242
46,2025-03-01,2026-02-28,BRISTOL EXCHANGE LLC,926 CLEVELAND ST,50,0.583,34.829657,-82.381358
47,2025-03-01,2026-02-28,POPLAR PLACE 2021 LLC,707 POPLAR DR,48,0.583,34.921607,-82.223055
48,2025-03-01,2026-02-28,OAK POINTE APARTMENTS,112 DAVENPORT RD,48,0.583,34.719113,-82.260408
49,2025-03-01,2026-02-28,PARK HAYWOOD,245 CONGAREE RD,45,0.583,34.85474,-82.338267
50,2025-03-01,2026-02-28,OVERLOOK APARTMENTS,65 VILLA RD,45,0.583,34.859292,-82.346772
51,2025-03-01,2026-02-28,WALDEN CREEK C/O LOEBSACK AND BROWNLEE,100 WALDEN CREEK WAY,43,0.583,34.822289,-82.276093
52,2025-03-01,2026-02-28,ANDOVER PARK APARTMENTS LP,831 CLEVELAND ST,42,0.583,34.833145,-82.382809
53,2025-03-01,2026-02-28,HUNTING RIDGE APARTMENTS,300 SULPHUR SPRINGS RD,42,0.583,34.894604,-82.443891
54,2025-03-01,2026-02-28,HAYWOOD RESERVE,826 OLD AIRPORT RD,42,0.583,34.844517,-82.338501
55,2025-03-01,2026-02-28,HOWELL COMMONS,150 HOWELL CIR,42,0.583,34.872067,-82.322312
56,2025-03-01,2026-02-28,VALLEY VIEW TOWNES C/O LOEBSACK AND BROWNLEE,510 ELM VALLEY TRL,42,0.583,34.696976,-82.219297
57,2025-03-01,2026-02-28,NOAH PROPERTY MANAGEMENT,15 BEST DR,42,0.583,34.823643,-82.452727
58,2025-03-01,2026-02-28,PELHAM VILLAGE APARTMENTS,2309 TOSCANO CT,40,0.583,34.860569,-82.276793
59,2025-03-01,2026-02-28,GRAMERCY WOODS,202 GRAMERCY WOODS LN,40,0.583,34.686217,-82.204408
60,2025-03-01,2026-02-28,HALCYON AT CROSS CREEK APARTMENTS,508 HALCYON CIR,40,0.583,34.890768,-82.285525
61,2025-03-01,2026-02-28,WINDMILL APARTMENTS,299 MILLER RD,39,0.583,34.788258,-82.306602
62,2025-03-01,2026-02-28,"ASHMORE BRIDGE ESTATES C/O LOEBSACK AND BROWNLEE, PLLC",42 MAULDIN FARMS LN,38,0.583,34.777012,-82.317811
63,2025-03-01,2026-02-28,STILLWATER AT GRANDVIEW COVE C/O LOEBSACK AND BROWNLEE,3714 GRANDVIEW DR,38,0.583,34.721364,-82.260449
64,2025-03-01,2026-02-28,ACASA ORCHARD PARK,49 ORCHARD PARK DR,38,0.583,34.857354,-82.332821
65,2025-03-01,2026-02-28,CRESCENT PARK COMMONS,331 ELIZABETH SARAH BLVD,37,0.583,34.934834,-82.269666
