position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-02-01,2026-01-31,COPPER WAY APARTMENTS LLC,19422 MOUNTAIN HWY E,40,0.39,47.080146,-122.432415
2,2025-02-01,2026-01-31,HZ LAKESIDE LANDING LLC,7038 S 12TH ST,29,0.39,47.248094,-122.530053
3,2025-02-01,2026-01-31,TERRA HEIGHTS APTS LLC,2325 S 96TH ST,28,0.39,47.170767,-122.466503
4,2025-02-01,2026-01-31,GATEWAY BY VINTAGE LP,20002 MOUNTAIN HWY E,25,0.39,47.07491,-122.425632
5,2025-02-01,2026-01-31,MORNINGTREE PARK LLC,8101 83RD AVE SW,24,0.39,47.183561,-122.546344
6,2025-02-01,2026-01-31,TA PEARL FEE OWNER LLC,1202 N PEARL ST,24,0.39,47.261143,-122.516551
7,2025-02-01,2026-01-31,416 11TH ST CT E OWNER LLC,11007 4 AVE CT E,22,0.39,47.156645,-122.425225
8,2025-02-01,2026-01-31,CR WOODMARK COMMUNITIES LLC,2406 96TH ST S,22,0.39,47.168494,-122.468878
9,2025-02-01,2026-01-31,KW LAKELAND LLC,5940 TERRACE VIEW LN SE,21,0.39,47.2549,-122.225651
10,2025-02-01,2026-01-31,GRE WAVERLY LLC,9314 S ASH ST,21,0.39,47.172119,-122.462179
