position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,CINNAMON TREE APARTMENTS,7220 CENTRAL AVE SE,123,0.493
2,2020-03-15,SUN POINTE PARK,4035 MONTGOMERY BLVD NE,121,0.493
3,2020-03-15,ARIOSO APARTMENTS,7303 MONTGOMERY BLVD NE,119,0.493
4,2020-03-15,THE ARBORS APARTMENTS,4425 SHEPARD RD NE,81,0.493
5,2020-03-15,AZTEC VILLAGE APARTMENTS,4321 MONTGOMERY BLVD NE,79,0.493
6,2020-03-15,ARROWHEAD POINTE APARTMENTS,12021 SKYLINE RD NE,78,0.493
7,2020-03-15,INDIGO PARK APARTMENTS,7600 MONTGOMERY BLVD NE,78,0.493
8,2020-03-15,THE VILLAS @ UPTOWN,6220 INDIAN SCHOOL RD NE,68,0.493
9,2020-03-15,CANDLELIGHT SQUARE,7501 MONTGOMERY BLVD NE,63,0.493
10,2020-03-15,THE VIEW ABQ,3003 TRANSPORT ST SE,63,0.493
1,2021-07-18,CINNAMON TREE APARTMENTS,7220 CENTRAL AVE SE,32,0.599
2,2021-07-18,THE VIEW ABQ,3003 TRANSPORT ST SE,20,0.599
3,2021-07-18,CANDLELIGHT SQUARE,7501 MONTGOMERY BLVD NE,16,0.599
4,2021-07-18,PAC 7303 MONTGOMERY LP,7303 MONTGOMERY BLVD NE,14,0.599
5,2021-07-18,SUN POINTE PARK,4041 MONTGOMERY BLVD NE,14,0.599
6,2021-07-18,TIERRA WEST MOBILE HOME COMMUNITY,224 ATRISCO VISTA BLVD SW,13,0.599
7,2021-07-18,INDIGO PARK APARTMENTS,7600 MONTGOMERY BLVD NE,12,0.599
8,2021-07-18,CANON DE ARROWHEAD,1700 MARKET ST NW,11,0.599
9,2021-07-18,"VUKOTA LA ENTRADA APARTMENT HOMES, LP",8000 MONTGOMERY BLVD NE,11,0.599
10,2021-07-18,CSA II SUN VILLAGE LLC & CFF II SUN VILLAGE LLC,801 LOCUST PL NE,10,0.599
