position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2/28/2022,3/4/2023,LINK REAL ESTATE GROUP,1633 SHANLEY DR,296,0.29,40.053203,-82.970816
2,2/28/2022,3/4/2023,LINK REAL ESTATE GROUP LLC,4651 REFUGEE RD,247,0.29,39.914666,-82.873897
3,2/28/2022,3/4/2023,4592 CHANNING TERRACE COLUMBUS LLC,2870 WOOLWICH CT,195,0.29,39.91687,-82.87409
4,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,181,0.29,39.952716,-82.858617
5,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,5149 LONGBRANCH LN,125,0.29,39.959213,-82.86061
6,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,2003 ELTHAM RD,123,0.29,39.939939,-82.825278
7,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,1946 FOUNTAINVIEW CT,108,0.29,39.939854,-82.833941
8,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,124 PARKLAWN BLVD,106,0.29,39.977879,-82.882491
9,2/28/2022,3/4/2023,LINK REAL ESTATE GROUP LLC,2361 SHORE BLVD E,103,0.29,39.923659,-82.87485
10,2/28/2022,3/4/2023,MARION SQUARE,1407 MARION RD,102,0.29,39.922348,-82.963199
11,2/28/2022,3/4/2023,MONARCH INVESTMENT GROUP,4795 WAKE ROBIN EDGE,96,0.29,40.065485,-82.970893
12,2/28/2022,3/4/2023,LINK REAL ESTATE GROUP LLC,660 E WOODROW AVE,95,0.29,39.928317,-82.977181
13,2/28/2022,3/4/2023,MONARCH INVESTMENT GROUP,1812 FOREST OAK LN,87,0.29,40.084437,-82.968731
14,2/28/2022,3/4/2023,RS ALKIRE GLEN OWNER LLC,4194 ALKIRE GLEN WAY,82,0.29,39.915314,-83.109628
15,2/28/2022,3/4/2023,COLLEGE PARK APARTMENTS,1750 CREEKSEDGE DR,82,0.29,39.932999,-82.929626
16,2/28/2022,3/4/2023,SAWMILL CROSSING,6635 DUMONT LN,82,0.29,40.091275,-83.085416
17,2/28/2022,3/4/2023,T&R PROPERTIES INC,6211 LOWRIDGE DR,80,0.29,39.907094,-82.832397
18,2/28/2022,3/4/2023,LINK REAL ESTATE GROUP LLC,2791 CITIZENS PL,79,0.29,39.919264,-82.876478
19,2/28/2022,3/4/2023,TOWNE PROPERTIES ASSET MANAGEMENT CO LTD,2077 WINSLOW DR,78,0.29,39.92455,-82.940088
20,2/28/2022,3/4/2023,CHANDLER COMMONS,6550 STEINWAY DR,77,0.29,39.936473,-82.817046
21,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,6398 BUSCH BLVD,77,0.29,40.096089,-82.9911
22,2/28/2022,3/4/2023,PINETREE VILLAGE LLC,1783 EVA LN,76,0.29,39.935171,-82.907558
23,2/28/2022,3/4/2023,LAKEVIEW TRAIL OH PARTNERS LLC,7394 MELYNNE TRCE,71,0.29,39.9044,-82.809118
24,2/28/2022,3/4/2023,HAVEN RESIDENTIAL,1770 SPRUCE DR,68,0.29,39.824673,-82.949298
25,2/28/2022,3/4/2023,TOWNE PROPERTIES INC,4665 E MAIN ST,67,0.29,39.95408,-82.873051
26,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,5864 CHATFORD DR,66,0.29,39.934071,-82.836145
27,2/28/2022,3/4/2023,OAKWOOD MANAGEMENT COMPANY,6517 ROSELAND CT,65,0.29,39.978642,-82.825401
28,2/28/2022,3/4/2023,WHISPERING OAKS,4286 DRESDEN ST,64,0.29,40.054615,-82.967251
29,2/28/2022,3/4/2023,BIRGE & HELD HIDDEN CREEK LLC,4822 TIMBERWOOD DR N,64,0.29,39.932009,-83.127244
30,2/28/2022,3/4/2023,FAIRWAY LAKES APARTMENTS LLC,5101 FAIRWAY LAKES DR,62,0.29,40.081885,-82.870395
31,2/28/2022,3/4/2023,ANDMARK GOVERNOURS SQUARE LLC,1233 WATERFORD DR,62,0.29,40.05508,-83.052228
32,2/28/2022,3/4/2023,ELMINGTON PROPERTY MANAGEMENT,4356 LEESBURG CT N,62,0.29,39.94653,-83.117008
33,2/28/2022,3/4/2023,HEATHERBRIDGE OH PARTNERS LLC,576 HIDDEN BRIDGE LN,60,0.29,39.989857,-82.814909
34,2/28/2022,3/4/2023,CROSS KEY APARTMENTS,5016 CHATTERTON RD,60,0.29,39.916156,-82.861809
35,2/28/2022,3/4/2023,LINK REAL ESTATE GROUP LLC,703 E WELCH AVE,60,0.29,39.930304,-82.976785
36,2/28/2022,3/4/2023,TOWNE PROPERTIES ASSET MANAGEMENT CO LTD,2150 WINSLOW DR,59,0.29,39.925295,-82.937514
37,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,5155 BRAMBURY CIR,59,0.29,39.942237,-83.136635
38,2/28/2022,3/4/2023,HAVEN RESIDENTIAL,6868 CLEARHURST DR,59,0.29,40.108461,-82.970591
39,2/28/2022,3/4/2023,ELMINGTON PROPERTY MANAGEMENT,499 KNOB HL W,59,0.29,39.945322,-83.11598
40,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,219 DERRER RD,59,0.29,39.949667,-83.091588
41,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,6263 CENTURY CITY N,58,0.29,39.944876,-82.828465
42,2/28/2022,3/4/2023,MONARCH INVESTMENT & MANAGEMENT GROUP LLC,1426 SHARON BROOK CT,56,0.29,40.106807,-82.977746
43,2/28/2022,3/4/2023,TOWNE PROPERTIES ASSET MANAGEMENT CO LTD,2129 ALUM CREEK DR,56,0.29,39.9252,-82.935802
44,2/28/2022,3/4/2023,5812 INVESTMENT GROUP LLC,5656 SARANAC DR,55,0.29,39.941633,-82.84315
45,2/28/2022,3/4/2023,LINK REAL ESTATE GROUP LLC,2469 KIMBERLY PKWY E,54,0.29,39.923518,-82.884668
46,2/28/2022,3/4/2023,FIRST VALUE INVESTMENTS INC,2170 PARKVILLE CT,54,0.29,40.085169,-82.958522
47,2/28/2022,3/4/2023,RESIDENCES AT TOWNE CENTER HOLDINGS LTD,3733 HAMMERWOOD CT,54,0.29,40.025987,-82.914116
48,2/28/2022,3/4/2023,PAXE LATITUDE LP,521 SAWYER BLVD,54,0.29,39.976279,-82.977019
49,2/28/2022,3/4/2023,MONARCH INVESTMENT GROUP,2348 DEEWOOD DR,54,0.29,40.096779,-82.953128
