position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2/28/2022,3/4/2023,HUNTINGTON PLACE APARTMENTS,5833 73RD AVE N,234,0.251,45.083526,-93.353975
2,2/28/2022,3/4/2023,CONCIERGE APARTMENTS PROPERTY OWNER LLC,7710 PENN AVE S,99,0.251,44.863982,-93.311237
3,2/28/2022,3/4/2023,WOP BURLINGTON LLC,1150 CUSHING CIR,85,0.251,44.972202,-93.149251
4,2/28/2022,3/4/2023,VILLA DEL CORONADO ASSOCIATES LP,8112 ZANE AVE N,67,0.251,45.10142,-93.355263
5,2/28/2022,3/4/2023,"HOPKINS APARTMENTS, LLC",1010 LAKE ST NE,61,0.251,44.93089,-93.387435
6,2/28/2022,3/4/2023,STERLING GEORGETOWN LLC,2735 RICE ST,59,0.251,45.023841,-93.107574
7,2/28/2022,3/4/2023,"CEDARVIEW COMMONS, LP",2060 9TH AVE E,51,0.251,45.013405,-93.013472
8,2/28/2022,3/4/2023,HAMPSHIRE 10660 LLC,10680 HAMPSHIRE AVE S,51,0.251,44.809499,-93.372027
9,2/28/2022,3/4/2023,FOXCROFT APARTMENTS LLP,1930 BURNS AVE,49,0.251,44.947904,-93.018525
10,2/28/2022,3/4/2023,"DOMINIUM MANAGEMENT SERVICES, LLC",1500 NICOLLET AVE,49,0.251,44.967551,-93.278253
11,2/28/2022,3/4/2023,KC MARQUEE APARTMENTS LLC,1410 NICOLLET AVE,47,0.251,44.968449,-93.277967
12,2/28/2022,3/4/2023,PUBLIC HOUSING AGENCY OF THE CITY OF SAINT PAUL,127 BIGLOW LN,46,0.251,44.988312,-93.094757
13,2/28/2022,3/4/2023,"COURTYARD APARTMENTS, LLC",2510 HIGHWAY 100 S,45,0.251,44.956909,-93.347703
14,2/28/2022,3/4/2023,"CENTERSPACE, LP",14600 34TH AVE N,45,0.251,45.021234,-93.4655
15,2/28/2022,3/4/2023,WILLOWBROOK LLC,5920 65TH AVE N,43,0.251,45.073096,-93.35765
16,2/28/2022,3/4/2023,MONTREAL COURTS LLP,336 LABORE RD,41,0.251,45.026694,-93.087241
17,2/28/2022,3/4/2023,RIVERTOWN COMMONS LIMITED PARTNERSHIP,175 CHARLES AVE,40,0.251,44.958039,-93.107612
18,2/28/2022,3/4/2023,CALLISTO KENSINGTON LLC,8312 ZANE AVE N,40,0.251,45.106058,-93.354917
19,2/28/2022,3/4/2023,"GPE, LLC",205 COUNTY RD B2 E,40,0.251,45.014556,-93.091486
20,2/28/2022,3/4/2023,MIMG XXXII EDEN PARK LLC,6121 65TH AVE N,39,0.251,45.072573,-93.359216
21,2/28/2022,3/4/2023,"CENTERSPACE, LP",6220 78TH AVE N,39,0.251,45.096994,-93.358677
22,2/28/2022,3/4/2023,PIONEER APARTMENTS LLLP,345 CEDAR ST,39,0.251,44.945756,-93.09312
23,2/28/2022,3/4/2023,"ML CASA II, LP",10300 DEVONSHIRE CIR,37,0.251,44.816526,-93.294138
24,2/28/2022,3/4/2023,MINNETONKA LEASED HOUSING ASSOCIATES II LLLP,10987 BREN RD E,37,0.251,44.898083,-93.4158
25,2/28/2022,3/4/2023,STERLING GEORGETOWN LLC,2425 LARPENTEUR AVE E,37,0.251,44.992726,-92.998136
26,2/28/2022,3/4/2023,681 PROPERTIES LLP,7820 ZANE AVE N,36,0.251,45.096361,-93.355863
27,2/28/2022,3/4/2023,GARDEN VIEW APARTMENTS LLC,1273 10TH ST NW,36,0.251,45.063127,-93.203744
28,2/28/2022,3/4/2023,"806 HAZEL STREET, LLC",840 HAZEL ST N,36,0.251,44.967089,-93.0192
29,2/28/2022,3/4/2023,P & R COMPANIES LLC,3930 LANCASTER LN N,35,0.251,45.028222,-93.401808
30,2/28/2022,3/4/2023,BRADLEY HOUSE APARTMENTS LLC,2150 WILSON AVE,35,0.251,44.953436,-93.009219
31,2/28/2022,3/4/2023,"CCA CBD MINNEAPOLIS, LLC",95 10TH ST S,34,0.251,44.973807,-93.273414
32,2/28/2022,3/4/2023,MONUMENT REAL ESTATE SERVICES LLC,5880 73RD AVE N,34,0.251,45.087973,-93.355459
33,2/28/2022,3/4/2023,681 PROPERTIES LLP,5513 BROOKDALE DR N,34,0.251,45.094442,-93.352045
34,2/28/2022,3/4/2023,"BOLERO FLATS APARTMENTS, LLC",1117 MARQUETTE AVE,34,0.251,44.971546,-93.274283
35,2/28/2022,3/4/2023,"DAYTON MHC, LLC",15 BURNS DR,33,0.251,45.17105,-93.52016
36,2/28/2022,3/4/2023,BRENTWOOD PARK TOWNHOMES & APARTMENTS,1301 HIGHWAY 7,32,0.251,44.933685,-93.41722
37,2/28/2022,3/4/2023,MIMG XLVIII CITY LIMITS LLC,125 59TH ST E,32,0.251,44.896494,-93.276875
38,2/28/2022,3/4/2023,BASS LAKE CROSSING LLC,5601 QUEBEC AVE N,31,0.251,45.056269,-93.376291
39,2/28/2022,3/4/2023,"MINNEAPOLIS STONE ARCH PARTNERS, LLC",601 MAIN ST SE,31,0.251,44.981954,-93.248409
40,2/28/2022,3/4/2023,"MONUMENT TALUS, LLC",3905 LANCASTER LN N,30,0.251,45.027336,-93.403589
41,2/28/2022,3/4/2023,ST PAUL LEASED HOUSING ASSOCIATES X LLLP,777 BERRY ST,30,0.251,44.963444,-93.206962
