position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-03-01,2026-02-28,NPRC PARKTON LLC,2342 WALDEN GLEN CIR,156,0.248,39.278104,-84.56594
2,2025-03-01,2026-02-28,CLEARPOINTE MANOR LLC,1860 SUNSET AVE,112,0.248,39.1251,-84.580045
3,2025-03-01,2026-02-28,NORTHGATE MEADOWS LLC,9980 ARBORWOOD DR,100,0.248,39.251971,-84.58753
4,2025-03-01,2026-02-28,NPRC APEX LLC,5313 EASTKNOLL CT,99,0.248,39.187681,-84.572965
5,2025-03-01,2026-02-28,NPRC PARKTON LLC,2321 WALDEN GLEN CIR,94,0.248,39.277066,-84.565273
6,2025-03-01,2026-02-28,CINCINNATI 101 OH LLC,2956 HIGHFOREST LN,76,0.248,39.179207,-84.559962
7,2025-03-01,2026-02-28,NE MH RENTALS LLC,5815 ISLAND DR,71,0.248,39.207077,-84.737213
8,2025-03-01,2026-02-28,BRC WILLIAMSBURG HOLDINGS LLC,108 GATEHOUSE DR W,71,0.248,39.214094,-84.48355
9,2025-03-01,2026-02-28,LUMA PROPERTY MGMT LLC,1905 DREXEL LN,62,0.248,39.279577,-84.478646
10,2025-03-01,2026-02-28,MONARCH INVST & MGMT GROUP LLC,12193 SYCAMORE TERRACE DR,60,0.248,39.292594,-84.324627
