position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-03-01,2026-02-28,VISTAS AT SEVEN BAR RANCH LLC,10600 CIBOLA LOOP NW,165,0.496,35.209679,-106.66102
2,2025-03-01,2026-02-28,1401 PENNSYLVANIA ST APTS LLC,1401 PENNSYLVANIA ST NE,125,0.496,35.095929,-106.56087
3,2025-03-01,2026-02-28,COPPER RIDGE OWNER LLC,557 TRAMWAY BLVD NE,119,0.496,35.076972,-106.498351
4,2025-03-01,2026-02-28,COURTYARD ACQUISITIONS LLC,6001 TOPKE PL NE,108,0.496,35.136229,-106.580665
5,2025-03-01,2026-02-28,VP TIERRA POINTE LLC,6801 LOS VOLCANES RD NW,101,0.496,35.091249,-106.718607
6,2025-03-01,2026-02-28,ASPEN RANCH PARTNERS LLC,9677 EAGLE RANCH RD NW,91,0.496,35.193169,-106.66336
7,2025-03-01,2026-02-28,ARBORS ACQUISITIONS LLC,4509 SHEPARD RD NE,82,0.496,35.119918,-106.594237
8,2025-03-01,2026-02-28,CSA II SUN VILLAGE LLC & CFF II SUN VILLAGE LLC,801 LOCUST PL NE,77,0.496,35.101746,-106.632983
9,2025-03-01,2026-02-28,"LP, LCA ARROWHEAD",1700 MARKET ST NW,62,0.496,35.102466,-106.726421
10,2025-03-01,2026-02-28,MFT MESA VERDE LLC,13110 CONSTITUTION AVE NE,62,0.496,35.09336,-106.499375
11,2025-03-01,2026-02-28,SOMERSET PARK APARTMENTS LLC,1201 MADEIRA DR SE,59,0.496,35.061478,-106.584777
12,2025-03-01,2026-02-28,VBL NEW MEX LLC,12901 CENTRAL AVE NE,59,0.496,35.069851,-106.505448
13,2025-03-01,2026-02-28,"LP, LCA RIO VOLCAN",1919 LADERA DR NW,56,0.496,35.106043,-106.726817
14,2025-03-01,2026-02-28,FSC LA PALOMA APARTMENTS LLC,6001 MOON ST NE,56,0.496,35.145343,-106.547675
15,2025-03-01,2026-02-28,"LP, PAC-4401 MONTGOMERY",4401 MONTGOMERY BLVD NE,51,0.496,35.132685,-106.594385
16,2025-03-01,2026-02-28,SUN POINTE PARK APARTMENTS LP,4033 MONTGOMERY BLVD NE,51,0.496,35.133122,-106.599591
17,2025-03-01,2026-02-28,WHISPERING SANDS OWNER LLC,12720 CENTRAL AVE SE,50,0.496,35.067207,-106.507075
18,2025-03-01,2026-02-28,SAN MATEO ABQ LLC,5350 SAN MATEO BLVD NE,49,0.496,35.140531,-106.583515
19,2025-03-01,2026-02-28,DIAMOND MESA ACQUISITION LLC AND R HS MP DIAMOND MESA LLC,2300 DIAMOND MESA TRL SW,49,0.496,35.04128,-106.736068
20,2025-03-01,2026-02-28,TERRAZA ABQ OWNER LLC,6401 ACADEMY RD NE,49,0.496,35.147395,-106.578586
21,2025-03-01,2026-02-28,"LP, PAC-4321 MONTGOMERY",4321 MONTGOMERY BLVD NE,47,0.496,35.133465,-106.596973
22,2025-03-01,2026-02-28,DESERT CREEK G & G LLC,4306 PAN AMERICAN FWY NE,46,0.496,35.129836,-106.611412
23,2025-03-01,2026-02-28,PEARL SPRING CREEK LLC,5600 GIBSON BLVD SE,45,0.496,35.057318,-106.578807
24,2025-03-01,2026-02-28,8200 BRIDGE BLVD SW LLC,8200 BRIDGE BLVD SW,44,0.496,35.071337,-106.728705
25,2025-03-01,2026-02-28,"LP, PAC-7303 MONTGOMERY",7303 MONTGOMERY BLVD NE,44,0.496,35.131793,-106.563052
26,2025-03-01,2026-02-28,BF CINNAMON TREE LLC,7220 CENTRAL AVE SE,44,0.496,35.073997,-106.565956
27,2025-03-01,2026-02-28,RHINO INVESTMENTS NM LLC,2500 CARLISLE BLVD NE,44,0.496,35.107608,-106.60379
28,2025-03-01,2026-02-28,PRCP NM MT RUN CHATHAM LLC,5800 EUBANK BLVD NE,42,0.496,35.14563,-106.527915
29,2025-03-01,2026-02-28,KW EL SOMBRA ABQ LLC,6000 MONTANO PLAZA DR NW,41,0.496,35.151909,-106.686844
30,2025-03-01,2026-02-28,RII CSC TESORO OWNER LLC,9900 SPAIN RD NE,40,0.496,35.136445,-106.529678
31,2025-03-01,2026-02-28,SIERRA MEADOWS APARTMENTS LLC,4236 EUBANK BLVD NE,40,0.496,35.12859,-106.531469
32,2025-03-01,2026-02-28,"APTS, EAGLE RANCH",9270 EAGLE RANCH RD NW,39,0.496,35.183966,-106.669216
33,2025-03-01,2026-02-28,NORTHLAND ACACIA GARDENS LLC,8401 SPAIN RD NE,39,0.496,35.141301,-106.545964
34,2025-03-01,2026-02-28,CIELO ABQ OWNER LLC,3299 ADAMS ST NE,38,0.496,35.117996,-106.594565
35,2025-03-01,2026-02-28,ARROYO VISTA APARTMENTS LLC,4201 BRYN MAWR DR NE,38,0.496,35.128305,-106.611159
36,2025-03-01,2026-02-28,4217 LOUISIANA OWNER LLC,6701 PRAIRIE RD NE,38,0.496,35.133868,-106.570971
37,2025-03-01,2026-02-28,BROADSTONE ACQUISITIONS LLC,6101 SEQUOIA RD NW,38,0.496,35.123629,-106.707454
38,2025-03-01,2026-02-28,"TOWERS, LOS ALTOS",9125 COPPER AVE NE,37,0.496,35.08369,-106.546463
39,2025-03-01,2026-02-28,SOMERSET PARK APARTMENTS LLC,1101 MADEIRA DR SE,36,0.496,35.062872,-106.584507
40,2025-03-01,2026-02-28,ABQ LOOP LLC,1000 LOUISIANA BLVD SE,36,0.496,35.063963,-106.566342
41,2025-03-01,2026-02-28,RETREAT ALBUQUERQUE LLC,3100 JANE PL NE,36,0.496,35.117463,-106.518467
42,2025-03-01,2026-02-28,POST LIFESTYLES LLC,4920 UNION WAY NE,34,0.496,35.139648,-106.616634
43,2025-03-01,2026-02-28,CWR RESIDENTIAL LTD,10001 COORS BYP NW,34,0.496,35.19705,-106.660031
